"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2014","2.3","",
"04","Arizona","04001","Apache","2015","2.5","",
"04","Arizona","04001","Apache","2016","1.8","",
"04","Arizona","04001","Apache","2017","1.4","Unstable",
"04","Arizona","04001","Apache","2018","2.3","",
"04","Arizona","04001","Apache","2019","1.8","",
"04","Arizona","04001","Apache","2020","1.9","",
"04","Arizona","04001","Apache","2021","1.7","Unstable",
"04","Arizona","04001","Apache","2022","1.6","Unstable",
"04","Arizona","04001","Apache","2023","2.0","",
"04","Arizona","04003","Cochise","2014","7.0","",
"04","Arizona","04003","Cochise","2015","6.1","",
"04","Arizona","04003","Cochise","2016","6.9","",
"04","Arizona","04003","Cochise","2017","4.6","",
"04","Arizona","04003","Cochise","2018","6.1","",
"04","Arizona","04003","Cochise","2019","4.7","",
"04","Arizona","04003","Cochise","2020","2.0","",
"04","Arizona","04003","Cochise","2021","3.4","",
"04","Arizona","04003","Cochise","2022","5.2","",
"04","Arizona","04003","Cochise","2023","3.0","",
"04","Arizona","04005","Coconino","2014","6.3","",
"04","Arizona","04005","Coconino","2015","4.6","",
"04","Arizona","04005","Coconino","2016","1.8","",
"04","Arizona","04005","Coconino","2017","1.5","",
"04","Arizona","04005","Coconino","2018","2.6","",
"04","Arizona","04005","Coconino","2019","2.1","",
"04","Arizona","04005","Coconino","2020","1.7","",
"04","Arizona","04005","Coconino","2021","2.0","",
"04","Arizona","04005","Coconino","2022","2.9","",
"04","Arizona","04005","Coconino","2023","3.5","",
"04","Arizona","04007","Gila","2014","7.8","",
"04","Arizona","04007","Gila","2015","9.9","",
"04","Arizona","04007","Gila","2016","5.8","",
"04","Arizona","04007","Gila","2017","5.4","",
"04","Arizona","04007","Gila","2018","3.2","",
"04","Arizona","04007","Gila","2019","4.5","",
"04","Arizona","04007","Gila","2020","4.1","",
"04","Arizona","04007","Gila","2021","3.0","",
"04","Arizona","04007","Gila","2022","1.8","Unstable",
"04","Arizona","04007","Gila","2023","5.0","",
"04","Arizona","04009","Graham","2014","5.7","",
"04","Arizona","04009","Graham","2015","4.8","",
"04","Arizona","04009","Graham","2016","2.4","Unstable",
"04","Arizona","04009","Graham","2017","3.1","",
"04","Arizona","04009","Graham","2018","Suppressed","Unstable",
"04","Arizona","04009","Graham","2019","Suppressed","Unstable",
"04","Arizona","04009","Graham","2020","0.0","",
"04","Arizona","04009","Graham","2021","Suppressed","Unstable",
"04","Arizona","04009","Graham","2022","Suppressed","Unstable",
"04","Arizona","04009","Graham","2023","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2014","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2015","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2016","0.0","",
"04","Arizona","04011","Greenlee","2017","0.0","",
"04","Arizona","04011","Greenlee","2018","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2019","0.0","",
"04","Arizona","04011","Greenlee","2020","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2021","Suppressed","Unstable",
"04","Arizona","04011","Greenlee","2022","0.0","",
"04","Arizona","04011","Greenlee","2023","0.0","",
"04","Arizona","04012","La Paz","2014","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2015","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2016","4.2","Unstable",
"04","Arizona","04012","La Paz","2017","4.1","Unstable",
"04","Arizona","04012","La Paz","2018","3.5","Unstable",
"04","Arizona","04012","La Paz","2019","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2020","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2021","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2022","Suppressed","Unstable",
"04","Arizona","04012","La Paz","2023","Suppressed","Unstable",
"04","Arizona","04013","Maricopa","2014","8.2","",
"04","Arizona","04013","Maricopa","2015","7.1","",
"04","Arizona","04013","Maricopa","2016","5.2","",
"04","Arizona","04013","Maricopa","2017","5.1","",
"04","Arizona","04013","Maricopa","2018","4.9","",
"04","Arizona","04013","Maricopa","2019","4.2","",
"04","Arizona","04013","Maricopa","2020","2.6","",
"04","Arizona","04013","Maricopa","2021","2.6","",
"04","Arizona","04013","Maricopa","2022","3.4","",
"04","Arizona","04013","Maricopa","2023","3.5","",
"04","Arizona","04015","Mohave","2014","11.7","",
"04","Arizona","04015","Mohave","2015","8.6","",
"04","Arizona","04015","Mohave","2016","3.7","",
"04","Arizona","04015","Mohave","2017","4.5","",
"04","Arizona","04015","Mohave","2018","3.5","",
"04","Arizona","04015","Mohave","2019","4.3","",
"04","Arizona","04015","Mohave","2020","2.0","",
"04","Arizona","04015","Mohave","2021","1.9","",
"04","Arizona","04015","Mohave","2022","1.6","",
"04","Arizona","04015","Mohave","2023","2.3","",
"04","Arizona","04017","Navajo","2014","5.9","",
"04","Arizona","04017","Navajo","2015","8.0","",
"04","Arizona","04017","Navajo","2016","5.2","",
"04","Arizona","04017","Navajo","2017","5.4","",
"04","Arizona","04017","Navajo","2018","4.3","",
"04","Arizona","04017","Navajo","2019","3.2","",
"04","Arizona","04017","Navajo","2020","2.9","",
"04","Arizona","04017","Navajo","2021","3.9","",
"04","Arizona","04017","Navajo","2022","5.0","",
"04","Arizona","04017","Navajo","2023","4.6","",
"04","Arizona","04019","Pima","2014","10.5","",
"04","Arizona","04019","Pima","2015","8.5","",
"04","Arizona","04019","Pima","2016","7.0","",
"04","Arizona","04019","Pima","2017","6.1","",
"04","Arizona","04019","Pima","2018","5.3","",
"04","Arizona","04019","Pima","2019","6.0","",
"04","Arizona","04019","Pima","2020","3.1","",
"04","Arizona","04019","Pima","2021","3.9","",
"04","Arizona","04019","Pima","2022","5.6","",
"04","Arizona","04019","Pima","2023","5.1","",
"04","Arizona","04021","Pinal","2014","9.4","",
"04","Arizona","04021","Pinal","2015","7.8","",
"04","Arizona","04021","Pinal","2016","4.5","",
"04","Arizona","04021","Pinal","2017","3.8","",
"04","Arizona","04021","Pinal","2018","4.1","",
"04","Arizona","04021","Pinal","2019","3.6","",
"04","Arizona","04021","Pinal","2020","2.2","",
"04","Arizona","04021","Pinal","2021","2.9","",
"04","Arizona","04021","Pinal","2022","4.1","",
"04","Arizona","04021","Pinal","2023","3.5","",
"04","Arizona","04023","Santa Cruz","2014","3.6","",
"04","Arizona","04023","Santa Cruz","2015","4.0","",
"04","Arizona","04023","Santa Cruz","2016","7.3","",
"04","Arizona","04023","Santa Cruz","2017","5.1","",
"04","Arizona","04023","Santa Cruz","2018","5.2","",
"04","Arizona","04023","Santa Cruz","2019","4.7","",
"04","Arizona","04023","Santa Cruz","2020","0.0","",
"04","Arizona","04023","Santa Cruz","2021","3.9","",
"04","Arizona","04023","Santa Cruz","2022","2.4","",
"04","Arizona","04023","Santa Cruz","2023","1.2","Unstable",
"04","Arizona","04025","Yavapai","2014","5.9","",
"04","Arizona","04025","Yavapai","2015","3.8","",
"04","Arizona","04025","Yavapai","2016","3.7","",
"04","Arizona","04025","Yavapai","2017","3.2","",
"04","Arizona","04025","Yavapai","2018","3.5","",
"04","Arizona","04025","Yavapai","2019","4.3","",
"04","Arizona","04025","Yavapai","2020","3.3","",
"04","Arizona","04025","Yavapai","2021","2.8","",
"04","Arizona","04025","Yavapai","2022","3.8","",
"04","Arizona","04025","Yavapai","2023","2.7","",
"04","Arizona","04027","Yuma","2014","5.7","",
"04","Arizona","04027","Yuma","2015","4.0","",
"04","Arizona","04027","Yuma","2016","2.3","",
"04","Arizona","04027","Yuma","2017","1.2","",
"04","Arizona","04027","Yuma","2018","1.6","",
"04","Arizona","04027","Yuma","2019","2.1","",
"04","Arizona","04027","Yuma","2020","0.9","",
"04","Arizona","04027","Yuma","2021","1.1","",
"04","Arizona","04027","Yuma","2022","1.4","",
"04","Arizona","04027","Yuma","2023","1.1","",
