GEO_ID,NAME,S1701_C01_001E,S1701_C01_001M,S1701_C02_001E,S1701_C02_001M,S1701_C03_001E,S1701_C03_001M,S1701_C01_002E,S1701_C01_002M,S1701_C02_002E,S1701_C02_002M,S1701_C03_002E,S1701_C03_002M,S1701_C01_003E,S1701_C01_003M,S1701_C02_003E,S1701_C02_003M,S1701_C03_003E,S1701_C03_003M,S1701_C01_004E,S1701_C01_004M,S1701_C02_004E,S1701_C02_004M,S1701_C03_004E,S1701_C03_004M,S1701_C01_005E,S1701_C01_005M,S1701_C02_005E,S1701_C02_005M,S1701_C03_005E,S1701_C03_005M,S1701_C01_006E,S1701_C01_006M,S1701_C02_006E,S1701_C02_006M,S1701_C03_006E,S1701_C03_006M,S1701_C01_007E,S1701_C01_007M,S1701_C02_007E,S1701_C02_007M,S1701_C03_007E,S1701_C03_007M,S1701_C01_008E,S1701_C01_008M,S1701_C02_008E,S1701_C02_008M,S1701_C03_008E,S1701_C03_008M,S1701_C01_009E,S1701_C01_009M,S1701_C02_009E,S1701_C02_009M,S1701_C03_009E,S1701_C03_009M,S1701_C01_010E,S1701_C01_010M,S1701_C02_010E,S1701_C02_010M,S1701_C03_010E,S1701_C03_010M,S1701_C01_011E,S1701_C01_011M,S1701_C02_011E,S1701_C02_011M,S1701_C03_011E,S1701_C03_011M,S1701_C01_012E,S1701_C01_012M,S1701_C02_012E,S1701_C02_012M,S1701_C03_012E,S1701_C03_012M,S1701_C01_013E,S1701_C01_013M,S1701_C02_013E,S1701_C02_013M,S1701_C03_013E,S1701_C03_013M,S1701_C01_014E,S1701_C01_014M,S1701_C02_014E,S1701_C02_014M,S1701_C03_014E,S1701_C03_014M,S1701_C01_015E,S1701_C01_015M,S1701_C02_015E,S1701_C02_015M,S1701_C03_015E,S1701_C03_015M,S1701_C01_016E,S1701_C01_016M,S1701_C02_016E,S1701_C02_016M,S1701_C03_016E,S1701_C03_016M,S1701_C01_017E,S1701_C01_017M,S1701_C02_017E,S1701_C02_017M,S1701_C03_017E,S1701_C03_017M,S1701_C01_018E,S1701_C01_018M,S1701_C02_018E,S1701_C02_018M,S1701_C03_018E,S1701_C03_018M,S1701_C01_019E,S1701_C01_019M,S1701_C02_019E,S1701_C02_019M,S1701_C03_019E,S1701_C03_019M,S1701_C01_020E,S1701_C01_020M,S1701_C02_020E,S1701_C02_020M,S1701_C03_020E,S1701_C03_020M,S1701_C01_021E,S1701_C01_021M,S1701_C02_021E,S1701_C02_021M,S1701_C03_021E,S1701_C03_021M,S1701_C01_022E,S1701_C01_022M,S1701_C02_022E,S1701_C02_022M,S1701_C03_022E,S1701_C03_022M,S1701_C01_023E,S1701_C01_023M,S1701_C02_023E,S1701_C02_023M,S1701_C03_023E,S1701_C03_023M,S1701_C01_024E,S1701_C01_024M,S1701_C02_024E,S1701_C02_024M,S1701_C03_024E,S1701_C03_024M,S1701_C01_025E,S1701_C01_025M,S1701_C02_025E,S1701_C02_025M,S1701_C03_025E,S1701_C03_025M,S1701_C01_026E,S1701_C01_026M,S1701_C02_026E,S1701_C02_026M,S1701_C03_026E,S1701_C03_026M,S1701_C01_027E,S1701_C01_027M,S1701_C02_027E,S1701_C02_027M,S1701_C03_027E,S1701_C03_027M,S1701_C01_028E,S1701_C01_028M,S1701_C02_028E,S1701_C02_028M,S1701_C03_028E,S1701_C03_028M,S1701_C01_029E,S1701_C01_029M,S1701_C02_029E,S1701_C02_029M,S1701_C03_029E,S1701_C03_029M,S1701_C01_030E,S1701_C01_030M,S1701_C02_030E,S1701_C02_030M,S1701_C03_030E,S1701_C03_030M,S1701_C01_031E,S1701_C01_031M,S1701_C02_031E,S1701_C02_031M,S1701_C03_031E,S1701_C03_031M,S1701_C01_032E,S1701_C01_032M,S1701_C02_032E,S1701_C02_032M,S1701_C03_032E,S1701_C03_032M,S1701_C01_033E,S1701_C01_033M,S1701_C02_033E,S1701_C02_033M,S1701_C03_033E,S1701_C03_033M,S1701_C01_034E,S1701_C01_034M,S1701_C02_034E,S1701_C02_034M,S1701_C03_034E,S1701_C03_034M,S1701_C01_035E,S1701_C01_035M,S1701_C02_035E,S1701_C02_035M,S1701_C03_035E,S1701_C03_035M,S1701_C01_036E,S1701_C01_036M,S1701_C02_036E,S1701_C02_036M,S1701_C03_036E,S1701_C03_036M,S1701_C01_037E,S1701_C01_037M,S1701_C02_037E,S1701_C02_037M,S1701_C03_037E,S1701_C03_037M,S1701_C01_038E,S1701_C01_038M,S1701_C02_038E,S1701_C02_038M,S1701_C03_038E,S1701_C03_038M,S1701_C01_039E,S1701_C01_039M,S1701_C02_039E,S1701_C02_039M,S1701_C03_039E,S1701_C03_039M,S1701_C01_040E,S1701_C01_040M,S1701_C02_040E,S1701_C02_040M,S1701_C03_040E,S1701_C03_040M,S1701_C01_041E,S1701_C01_041M,S1701_C02_041E,S1701_C02_041M,S1701_C03_041E,S1701_C03_041M,S1701_C01_042E,S1701_C01_042M,S1701_C02_042E,S1701_C02_042M,S1701_C03_042E,S1701_C03_042M,S1701_C01_043E,S1701_C01_043M,S1701_C02_043E,S1701_C02_043M,S1701_C03_043E,S1701_C03_043M,S1701_C01_044E,S1701_C01_044M,S1701_C02_044E,S1701_C02_044M,S1701_C03_044E,S1701_C03_044M,S1701_C01_045E,S1701_C01_045M,S1701_C02_045E,S1701_C02_045M,S1701_C03_045E,S1701_C03_045M,S1701_C01_046E,S1701_C01_046M,S1701_C02_046E,S1701_C02_046M,S1701_C03_046E,S1701_C03_046M,Unnamed: 278,Year
0500000US04013,"Maricopa County, Arizona",3895963,2278,666748,10561,17.1,0.3,996466,1276,244118,5924,24.5,0.6,991612,1354,239659,5846,24.2,0.6,2392069,1745,382472,5765,16.0,0.2,507428,386,40158,1382,7.9,0.3,1921653,1708,312593,5483,16.3,0.3,1974310,1245,354155,5897,17.9,0.3,3779713,4920,645712,10628,17.1,0.3,3124053,9278,482135,10387,15.4,0.3,199268,2399,50635,2565,25.4,1.2,72430,2069,20419,1605,28.2,2.1,142922,1724,18482,1673,12.9,1.1,7961,485,1907,457,24.0,5.6,233079,7555,72134,4357,30.9,1.6,116250,4557,21036,1469,18.1,1.2,1165442,1151,342680,7557,29.4,0.7,2254789,1709,225198,5999,10.0,0.3,2528733,1109,326770,5054,12.9,0.2,335559,4482,106430,2582,31.7,0.7,585758,4796,93336,2578,15.9,0.4,845373,6246,88473,2282,10.5,0.3,762043,6459,38531,1675,5.1,0.2,1932359,6119,199373,3436,10.3,0.2,1761405,6254,140996,2921,8.0,0.2,945335,4072,73332,2206,7.8,0.2,816070,4349,67664,1903,8.3,0.2,170954,3590,58377,2047,34.1,0.9,95921,2585,31053,1581,32.4,1.3,75033,2070,27324,1240,36.4,1.3,3010648,2501,445662,6154,14.8,0.2,1258107,6079,48442,1598,3.9,0.1,687045,5108,131771,3001,19.2,0.4,1065496,5879,265449,4179,24.9,0.4,317845,7328,(X),(X),(X),(X),863806,10694,(X),(X),(X),(X),1060211,11495,(X),(X),(X),(X),1318142,11487,(X),(X),(X),(X),1425611,11778,(X),(X),(X),(X),753462,6017,187854,3115,24.9,0.4,385700,4662,90291,1983,23.4,0.5,367762,3323,97563,2329,26.5,0.6,7309,83,(X),(X),(X),(X),341322,5058,10745,871,3.1,0.2,168227,2492,64410,1902,38.3,1.0,243913,3305,112699,2412,46.2,0.8,29.8,(X),(X),(X),(X),(X),,2014
0500000US04013,"Maricopa County, Arizona",3965553,1899,673527,10409,17.0,0.3,1001396,1230,244141,4912,24.4,0.5,268239,653,72632,2384,27.1,0.9,733157,846,171509,3512,23.4,0.5,996729,1358,239855,4835,24.1,0.5,2432110,1418,385368,6323,15.8,0.3,937357,1235,191135,3960,20.4,0.4,1494753,533,194233,4012,13.0,0.3,740688,2459,67793,2084,9.2,0.3,532047,416,44018,1560,8.3,0.3,1955638,1380,313707,5338,16.0,0.3,2009915,1347,359820,6214,17.9,0.3,3159285,8381,484416,9658,15.3,0.3,204694,2412,49706,2508,24.3,1.2,74632,1666,20723,1472,27.8,1.9,150372,1754,19272,1341,12.8,0.9,7874,472,1746,381,22.2,4.4,245842,7510,76179,4323,31.0,1.5,122854,3450,21485,1831,17.5,1.3,1194043,973,349777,7649,29.3,0.6,2276242,1526,224569,5665,9.9,0.2,2590241,998,334851,5507,12.9,0.2,339990,4118,109668,2928,32.3,0.7,594341,5137,95756,2755,16.1,0.5,862326,5817,89401,2523,10.4,0.3,793584,6272,40026,1701,5.0,0.2,1968588,5670,199799,4032,10.1,0.2,1816995,5746,147280,3245,8.1,0.2,975878,3583,76721,2170,7.9,0.2,841117,3772,70559,2097,8.4,0.2,151593,3020,52519,1853,34.6,1.0,84881,2340,28040,1115,33.0,1.2,66712,1914,24479,1241,36.7,1.5,3077528,1962,452722,7188,14.7,0.2,1300188,5998,52980,1516,4.1,0.1,690572,6178,130319,3436,18.9,0.5,1086768,5574,269423,5146,24.8,0.4,320941,8028,(X),(X),(X),(X),866255,11334,(X),(X),(X),(X),1059308,12618,(X),(X),(X),(X),1318725,11624,(X),(X),(X),(X),1428653,12877,(X),(X),(X),(X),2099613,12829,(X),(X),(X),(X),2630349,11545,(X),(X),(X),(X),3016458,9830,(X),(X),(X),(X),771931,6930,193059,3795,25.0,0.4,,2015
0500000US04013,"Maricopa County, Arizona",4035348,2059,666513,8761,16.5,0.2,1008149,1094,239351,4418,23.7,0.4,271214,584,70556,1994,26.0,0.7,736935,851,168795,3357,22.9,0.5,1003477,1214,234947,4391,23.4,0.4,2467685,1683,380420,5460,15.4,0.2,952474,1536,188060,3657,19.7,0.4,1515211,481,192360,3628,12.7,0.2,775132,2470,71207,2088,9.2,0.3,559514,380,46742,1458,8.4,0.3,1991388,1389,309270,4964,15.5,0.2,2043960,1560,357243,5127,17.5,0.3,3175984,7788,469901,7614,14.8,0.2,211033,2225,50327,2124,23.8,1.0,75268,1838,20714,1940,27.5,2.4,155138,1848,20338,1401,13.1,0.9,8247,527,1493,403,18.1,4.9,277871,7084,81262,4364,29.2,1.2,131807,3863,22478,1594,17.1,1.1,1223019,969,340674,6571,27.9,0.5,2299784,1384,225244,4213,9.8,0.2,2650294,1023,334906,4487,12.6,0.2,343427,4258,106737,2474,31.1,0.6,606215,4857,95859,2639,15.8,0.4,875181,5287,89788,2451,10.3,0.3,825471,5779,42522,1565,5.2,0.2,2002236,6203,196822,3372,9.8,0.2,1866273,6426,149572,2703,8.0,0.2,1004597,4238,78055,2058,7.8,0.2,861676,4497,71517,2232,8.3,0.3,135963,3050,47250,1681,34.8,1.0,75617,1939,25047,1165,33.1,1.3,60346,1958,22203,1126,36.8,1.3,3140397,2026,450282,5884,14.3,0.2,1339830,6184,53394,1475,4.0,0.1,696522,5820,130860,2634,18.8,0.3,1104045,6225,266028,4473,24.1,0.3,321331,7155,(X),(X),(X),(X),858219,9825,(X),(X),(X),(X),1046870,11641,(X),(X),(X),(X),1314142,12901,(X),(X),(X),(X),1426885,12978,(X),(X),(X),(X),2117198,11624,(X),(X),(X),(X),2654157,10965,(X),(X),(X),(X),3051562,9119,(X),(X),(X),(X),789905,6667,197389,3631,25.0,0.4,,2016
0500000US04013,"Maricopa County, Arizona",4101308,2167,644476,9996,15.7,0.2,1014676,1155,228192,4886,22.5,0.5,272099,686,67032,2144,24.6,0.8,742577,881,161160,3823,21.7,0.5,1010104,1264,223931,4800,22.2,0.5,2506287,1725,367419,5770,14.7,0.2,968453,1398,180120,3640,18.6,0.4,1537834,742,187299,3686,12.2,0.2,801129,2641,73820,1927,9.2,0.2,580345,354,48865,1494,8.4,0.3,2023814,1310,299424,5020,14.8,0.2,2077494,1735,345052,6154,16.6,0.3,3203614,7574,451458,8720,14.1,0.3,217162,2458,47467,2750,21.9,1.2,76697,2057,20149,1615,26.3,1.9,162060,2017,19389,1411,12.0,0.8,8635,549,1496,356,17.3,3.9,291837,6743,81555,4440,27.9,1.3,141303,4423,22962,1784,16.3,1.2,1256273,1228,326870,7726,26.0,0.6,2312393,1562,221101,4798,9.6,0.2,2708073,1515,328664,4983,12.1,0.2,347252,4073,103021,2932,29.7,0.8,614675,5659,93908,2563,15.3,0.4,889410,6167,89037,2500,10.0,0.3,856736,5999,42698,1662,5.0,0.2,2047224,5683,188112,3470,9.2,0.2,1923789,5914,147089,2753,7.6,0.1,1037185,3529,77272,1860,7.5,0.2,886604,4715,69817,1962,7.9,0.2,123435,2450,41023,1705,33.2,1.1,68766,1735,21718,1139,31.6,1.3,54669,1591,19305,1094,35.3,1.6,3201963,2268,438674,6486,13.7,0.2,1388166,6654,53057,1860,3.8,0.1,703863,6577,127102,2519,18.1,0.3,1109934,6221,258515,4931,23.3,0.4,306333,6693,(X),(X),(X),(X),835089,10269,(X),(X),(X),(X),1020311,11819,(X),(X),(X),(X),1289118,12467,(X),(X),(X),(X),1400852,11900,(X),(X),(X),(X),2098152,13633,(X),(X),(X),(X),2655057,11091,(X),(X),(X),(X),3066002,8680,(X),(X),(X),(X),800063,7242,195408,3844,24.4,0.4,,2017
0500000US04013,"Maricopa County, Arizona",4198378,2568,618496,9673,14.7,0.2,1025657,1147,216871,5302,21.1,0.5,274023,599,63924,2236,23.3,0.8,751634,927,152947,3894,20.3,0.5,1021111,1228,212719,5299,20.8,0.5,2563752,2205,350991,5599,13.7,0.2,993967,2045,171051,3833,17.2,0.4,1569785,544,179940,3633,11.5,0.2,837220,2238,75794,1961,9.1,0.2,608969,376,50634,1740,8.3,0.3,2071794,1657,286115,5290,13.8,0.3,2126584,1398,332381,5678,15.6,0.3,3263406,7889,428616,8173,13.1,0.2,227284,2498,48323,2775,21.3,1.2,80642,1834,20897,1748,25.9,1.9,174646,2130,20710,1456,11.9,0.8,9216,587,1318,397,14.3,4.1,291872,6588,74848,3964,25.6,1.1,151312,4751,23784,1860,15.7,1.2,1295339,1077,305333,7518,23.6,0.6,2340489,1991,214358,4602,9.2,0.2,2788147,960,318318,4614,11.4,0.2,349539,4303,97038,2946,27.8,0.7,627121,5662,89922,2256,14.3,0.3,914472,5579,87581,2632,9.6,0.3,897015,6838,43777,1480,4.9,0.2,2115375,6301,180475,4024,8.5,0.2,1999087,6334,143831,3321,7.2,0.2,1075664,3904,75007,2367,7.0,0.2,923423,4900,68824,2049,7.5,0.2,116288,2402,36644,1451,31.5,1.1,64014,1808,19323,1041,30.2,1.3,52274,1753,17321,1027,33.1,1.6,3290251,2309,422806,6105,12.9,0.2,1447911,5745,51075,1737,3.5,0.1,722064,5539,125358,3284,17.4,0.4,1120276,6052,246373,4131,22.0,0.3,289648,6844,(X),(X),(X),(X),809352,10141,(X),(X),(X),(X),990438,11285,(X),(X),(X),(X),1267219,12156,(X),(X),(X),(X),1382507,12430,(X),(X),(X),(X),2100212,13855,(X),(X),(X),(X),2679923,11777,(X),(X),(X),(X),3102715,10311,(X),(X),(X),(X),822403,7521,193015,3803,23.5,0.4,,2018
0500000US04013,"Maricopa County, Arizona",4272832,2526,588350,9021,13.8,0.2,1029512,1299,203615,4501,19.8,0.4,273766,620,59520,1980,21.7,0.7,755746,1124,144095,3612,19.1,0.5,1025096,1456,199616,4526,19.5,0.4,2607801,1964,332140,5628,12.7,0.2,1011503,1412,161172,3745,15.9,0.4,1596298,1006,170968,3601,10.7,0.2,870979,3180,77955,2237,9.0,0.3,635519,410,52595,1748,8.3,0.3,2108410,1492,270701,4896,12.8,0.2,2164422,1862,317649,5129,14.7,0.2,3321867,10027,409870,8155,12.3,0.2,238104,2736,46385,2614,19.5,1.1,83571,2087,19571,1630,23.4,1.9,179450,2286,20371,1477,11.4,0.8,9542,623,1165,415,12.2,4.0,283925,8654,67293,3440,23.7,1.1,156373,4788,23695,2040,15.2,1.2,1326022,1284,287668,7843,21.7,0.6,2362420,2023,205499,5037,8.7,0.2,2855219,1574,306570,5094,10.7,0.2,347918,5013,90901,2933,26.1,0.7,637081,5258,85795,2443,13.5,0.4,931239,6393,85654,2554,9.2,0.3,938981,6934,44220,1462,4.7,0.2,2171216,6227,170177,3367,7.8,0.2,2062417,6507,137730,3016,6.7,0.1,1108985,4193,71743,2195,6.5,0.2,953432,4607,65987,1896,6.9,0.2,108799,2634,32447,1513,29.8,1.2,59293,1862,16941,993,28.6,1.6,49506,1659,15506,1006,31.3,1.7,3362273,2319,405268,6227,12.1,0.2,1503688,6746,49157,1658,3.3,0.1,729863,7804,119161,3082,16.3,0.4,1128722,6787,236950,4690,21.0,0.3,274071,7108,(X),(X),(X),(X),772230,10433,(X),(X),(X),(X),952430,11150,(X),(X),(X),(X),1232811,12431,(X),(X),(X),(X),1349304,13242,(X),(X),(X),(X),2082134,13994,(X),(X),(X),(X),2677941,13923,(X),(X),(X),(X),3113328,11156,(X),(X),(X),(X),838498,6831,188437,3560,22.5,0.4,,2019
0500000US04013,"Maricopa County, Arizona",4353138,3515,553661,10788,12.7,0.2,1032169,2746,189249,6246,18.3,0.6,271642,1334,53719,2552,19.8,0.9,760527,2132,135530,4775,17.8,0.6,1027485,2918,185002,6285,18.0,0.6,2656184,2084,309553,5674,11.7,0.2,1031544,1645,147582,3694,14.3,0.4,1624640,875,161971,4049,10.0,0.2,906440,3201,79831,2848,8.8,0.3,664785,386,54859,2133,8.3,0.3,2148991,1678,254818,6183,11.9,0.3,2204147,2506,298843,6404,13.6,0.3,3219552,10312,358930,8401,11.1,0.3,244453,3660,47616,3653,19.5,1.4,82602,2551,18269,2007,22.1,2.2,185411,2580,20009,1734,10.8,0.9,9546,529,1070,330,11.2,3.5,302952,9444,62655,4652,20.7,1.3,308622,9503,45112,3636,14.6,1.1,1354993,2485,258734,8332,19.1,0.6,2379393,2943,195962,5009,8.2,0.2,2928448,1258,293393,5719,10.0,0.2,337483,5433,79159,2803,23.5,0.8,652222,7029,80623,2620,12.4,0.4,954609,7744,86513,2856,9.1,0.3,984134,7680,47098,2513,4.8,0.2,2236830,6871,156971,4206,7.0,0.2,2123216,7609,126894,3946,6.0,0.2,1139616,3977,65923,2955,5.8,0.3,983600,5870,60971,2052,6.2,0.2,113614,3449,30077,1638,26.5,1.3,60608,2370,15298,1188,25.2,1.8,53006,2108,14779,1144,27.9,1.9,3440673,3048,383899,6775,11.2,0.2,1556528,7613,43228,1742,2.8,0.1,748584,7234,115079,3865,15.4,0.5,1135561,7077,225592,4523,19.9,0.4,257624,6573,(X),(X),(X),(X),726472,12691,(X),(X),(X),(X),905392,13541,(X),(X),(X),(X),1183491,15136,(X),(X),(X),(X),1307963,15313,(X),(X),(X),(X),2054703,14997,(X),(X),(X),(X),2667503,14823,(X),(X),(X),(X),3129319,13855,(X),(X),(X),(X),866318,9472,180557,4492,20.8,0.4,,2020
0500000US04013,"Maricopa County, Arizona",4308734,2774,518951,9768,12.0,0.2,1019630,1298,174005,5909,17.1,0.6,260674,716,47826,2598,18.3,1.0,758956,983,126179,4620,16.6,0.6,1014584,1609,169545,5928,16.7,0.6,2632719,2846,290087,5156,11.0,0.2,1010345,2003,137796,3573,13.6,0.4,1622374,1343,152291,3688,9.4,0.2,898717,3388,79739,2411,8.9,0.3,656385,383,54859,1982,8.4,0.3,2136613,2119,238592,4808,11.2,0.2,2172121,1609,280359,6320,12.9,0.3,3040447,8844,316427,7244,10.4,0.2,239623,3813,44016,3435,18.4,1.4,79450,2570,17046,1899,21.5,2.3,182753,2561,18487,1822,10.1,1.0,8965,653,916,298,10.2,3.6,301058,8893,57635,4365,19.1,1.3,456438,9134,64424,5110,14.1,1.0,1359866,1363,242191,7735,17.8,0.6,2318930,2512,183681,4719,7.9,0.2,2905058,2107,279790,5071,9.6,0.2,321395,5134,72032,2439,22.4,0.8,636500,6950,77381,2328,12.2,0.3,943520,7095,83552,2903,8.9,0.3,1003643,8337,46825,2235,4.7,0.2,2229993,6149,146136,3987,6.6,0.2,2119237,5935,117522,3506,5.5,0.2,1141816,4642,59401,2555,5.2,0.2,977421,4221,58121,2169,5.9,0.2,110756,3051,28614,1814,25.8,1.3,58113,2013,14231,1101,24.5,1.8,52643,2042,14383,1278,27.3,2.0,3408866,3249,363468,5922,10.7,0.2,1563760,7671,39852,1716,2.5,0.1,738429,7592,108795,3159,14.7,0.4,1106677,6259,214821,3971,19.4,0.3,242739,6119,(X),(X),(X),(X),681884,12317,(X),(X),(X),(X),854790,14354,(X),(X),(X),(X),1115409,15571,(X),(X),(X),(X),1233683,15235,(X),(X),(X),(X),1965367,17101,(X),(X),(X),(X),2583880,15165,(X),(X),(X),(X),3045948,11847,(X),(X),(X),(X),861140,9012,175512,3859,20.4,0.4,,2021
0500000US04013,"Maricopa County, Arizona",4368048,1278,503565,10610,11.5,0.2,1007866,1229,161242,5862,16.0,0.6,255224,605,43608,2348,17.1,0.9,752642,993,117634,4864,15.6,0.6,1002799,1507,156696,5840,15.6,0.6,2677844,777,282161,5742,10.5,0.2,1039897,669,133228,3885,12.8,0.4,1637947,901,148933,3339,9.1,0.2,930332,3283,85366,2772,9.2,0.3,682338,478,60162,2221,8.8,0.3,2172925,1187,231096,5449,10.6,0.2,2195123,1182,272469,6261,12.4,0.3,2913733,10049,282853,7673,9.7,0.3,246581,3704,43469,3408,17.6,1.3,80354,2827,16480,1841,20.5,2.2,187916,2687,19318,1795,10.3,0.9,9093,681,913,264,10.0,2.9,334189,7642,58207,4269,17.4,1.1,596182,9207,82325,4918,13.8,0.8,1385298,1209,231171,7965,16.7,0.6,2326586,2618,179776,4900,7.7,0.2,2957212,652,278915,5187,9.4,0.2,317356,5047,69746,2595,22.0,0.8,648428,6043,78691,2152,12.1,0.3,950150,7015,82112,2814,8.6,0.3,1041278,8365,48366,2024,4.6,0.2,2279317,6448,141036,4122,6.2,0.2,2171136,7410,112903,3357,5.2,0.2,1175977,5416,57443,2452,4.9,0.2,995159,4627,55460,2017,5.6,0.2,108181,3239,28133,1770,26.0,1.4,56343,2084,13771,1050,24.4,1.7,51838,2229,14362,1272,27.7,1.8,3479495,1682,360026,6574,10.3,0.2,1611884,7383,38282,1622,2.4,0.1,740393,7959,104802,3823,14.2,0.5,1127218,6793,216942,4689,19.2,0.4,244935,7695,(X),(X),(X),(X),660379,12184,(X),(X),(X),(X),830415,14384,(X),(X),(X),(X),1086284,14968,(X),(X),(X),(X),1206924,16018,(X),(X),(X),(X),1949831,15485,(X),(X),(X),(X),2579047,17402,(X),(X),(X),(X),3056524,13618,(X),(X),(X),(X),885931,8579,177662,3293,20.1,0.3,,2022
0500000US04013,"Maricopa County, Arizona",4425433,1639,497877,10340,11.3,0.2,1009898,1387,152787,6015,15.1,0.6,253481,662,40385,2497,15.9,1.0,756417,1163,112402,4598,14.9,0.6,1004785,1719,148151,5926,14.7,0.6,2708472,1055,279561,5825,10.3,0.2,1040967,718,129034,3290,12.4,0.3,1667505,1049,150527,4178,9.0,0.3,963237,3035,91454,2436,9.5,0.2,707063,534,65529,2236,9.3,0.3,2197482,1273,228302,5459,10.4,0.2,2227951,1285,269575,6778,12.1,0.3,2786276,10371,256334,7304,9.2,0.3,252661,4240,44980,3475,17.8,1.3,83833,3873,14726,1383,17.6,1.7,195250,2815,19249,1972,9.9,1.0,9119,704,899,302,9.9,3.2,370488,9518,59859,4196,16.2,1.0,727806,11235,101830,5970,14.0,0.8,1369643,1089,221161,8368,16.1,0.6,2362601,2776,183791,5258,7.8,0.2,3022661,864,283689,5302,9.4,0.2,313989,5822,68673,2621,21.9,0.7,660014,7217,79764,2688,12.1,0.4,957857,7667,84320,3162,8.8,0.3,1090801,9495,50932,2499,4.7,0.2,2315036,6329,138617,4183,6.0,0.2,2209255,6548,111143,3436,5.0,0.2,1190944,4727,55758,2280,4.7,0.2,1018311,4992,55385,2189,5.4,0.2,105781,3123,27474,1672,26.0,1.3,54326,2175,13335,1077,24.5,1.7,51455,2020,14139,1056,27.5,1.9,3536664,1904,362556,6613,10.3,0.2,1650457,7660,37737,1848,2.3,0.1,737636,7632,102260,3398,13.9,0.4,1148571,7103,222559,4688,19.4,0.4,251825,6996,(X),(X),(X),(X),648372,12588,(X),(X),(X),(X),813085,13223,(X),(X),(X),(X),1060632,14746,(X),(X),(X),(X),1177436,15898,(X),(X),(X),(X),1923514,17271,(X),(X),(X),(X),2554156,18063,(X),(X),(X),(X),3050447,14380,(X),(X),(X),(X),911472,10994,185739,4731,20.4,0.4,,2023
